program,known_information,information_gap,status
OBA Donations,"Detailed donation information is available, including campaign, amount, currency, fees, donation type, date, status, and transaction fields.",The original source requires structural cleaning and validation. Inconsistent CSV formatting can cause fields to shift during import.,Needs structural cleanup
OBA Donations + PaliNights Fund,Both datasets contain donation records and include some of the same fundraising activity.,Some PaliNights donation records are duplicated in OBA Donations. Combining the files without reconciliation may double-count funds and overstate Total Raised.,Needs reconciliation / deduplication
PaliNights Fund,"Donation information is recorded across several sources, including e-transfer, DonorBox, Eventbrite, and event-related collections.","Payment sources are stored in separate tabs with different structures, making automated consolidation and comparison difficult.",Needs standardized template
PaliNights Fund,Summary and follow-up sheets contain donation and payment-source information.,Some transactions may appear in both summary/follow-up sheets and individual payment-source tabs.,Needs source-of-truth rule
GoFundMe / Order Data,"Fundraiser status, completion percentage, crowdfunding links, social-media information, and operational notes are available.","The reporting date or refresh frequency of fundraiser status and completion values is unclear, making current performance difficult to verify.",Needs update process
GoFundMe / Order Data,"Fundraiser, crowdfunding, contact, and social-media information are captured across several sheets.","Some worksheets contain unrelated data blocks, blank separator columns, and inconsistent field structures, limiting reliable automated analysis.",Needs restructuring
GoFundMe / Order Data,"Operational records contain names, emails, phone numbers, campaign links, and social-media information.",Personal information is not required for aggregate analysis and should be removed from analytical datasets and dashboards.,Needs de-identification
Brooks Individual Fundraisers,"Fundraiser records contain financial fields related to amounts raised, transferred, deposited, and transfer-related amounts.","The business meaning and relationship of the financial fields need confirmation before fee-rate, net-fund, or efficiency metrics can be interpreted reliably.",Needs field definitions
Cross-file Fundraising Data,"OBA maintains fundraising information across DonorBox, e-transfer, events, GoFundMe, and individual fundraiser sources.","There is no consistent shared identifier across all files to determine whether records refer to the same donation, campaign, fundraiser, or transaction.",Needs common ID
Campaign / Fundraiser Tracking,"Campaign names, fundraiser links, and fundraising-source information are available across multiple files.","Campaign and fundraiser naming is not standardized across datasets, so cross-file matching may require manual interpretation.",Needs standardized campaign ID
Total Raised,Fundraising amounts can be calculated from the available source files.,A documented source-of-truth rule is needed to identify which files and records should contribute to the official Total Raised figure. Current cross-file duplication creates a risk of inaccurate totals.,Needs reconciliation rule
Data Governance,OBA already captures substantial fundraising and operational information.,"Datasets use different structures, field names, definitions, and levels of detail, increasing manual cleaning and limiting integration.",Needs standardized reporting model
